<<<<<<< HEAD
﻿Provience,Location,Weather,Traveltype,Accommodation,Address,Perpersonbudget,Activities
Eastern,Ampara,Hot,City life,WHITE HOUSE-AMPARA,"NO 229, NEW TOWN, AMPARA",11500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,HIDEAWAY RESORT,"ULLE, POTTUVIL",22500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SUPERSTAR TOURIST INN,"NO. 23/1, YARD ROAD, KALMUNAI 01",12400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,S.T .RAAJ RESTAURANT AND GUEST HOUSE,"OLD HOSPITAL ROAD,AKKARAIPATTU-09",35000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,K.G.A.ARIYAWAN REST,"K.P.66, 1ST AVANUE, NAWAGAMPURA,AMPARA.",25500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,LONDON GUEST HOUSE,"REST HOUSE ROAD, KALMUNAI.",8500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ARUGAMBAY SURF RESORT,"ARUGAMBAY, POTUVIL.",6900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,GALAXY LOUNGE,"ARUGAMBAY,SINNAVLLOVI,POTTUWIL -18",14500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,RUPAS BEACH HOTEL,"ARUGAMBAY,POTTUVIL",21500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,TSUNAMI HOTEL,"ARUGAMBAY,ULLE,POTHUWIL",13100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,OCEAN BEACH HOTEL,"ARUGAMBAY,POTTUVIL-18",10700,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,GECKO RESTAURANT & ROOMS,"MAIN STREET,ARUGAMBAY,POTTUWIL",26000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ALOHA CABANAS,"SINNA ULLAI,ARUGAMBAY",12100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,DEANS GUEST HOUSE,"MAIN STREET,ARUGAMBAY,POTTUWIL",7000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,BEACH HUT,"ARUGAMBAY,POTTUVIL.",17400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,FANTASY HOTEL,"MAIN STREET,ARUGAMBAY SINNA ULLAI,POTTUVIL.",13900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ARUGAMBAY PACIFIC HOTEL,"MAIN STREET,ARUGAMBAY,POTTUVIL",14600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,THE DANISH VILLA,"SINNA ULLAI,ARUGAMBAY",12600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,GREEN HOUSE RESTAURANT AND LODGING HOUSE,"MUTALIYAR ROAD, AKKARAIPATTUWA 8",20800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,MONTY GUEST,"C 32,1ST AVEUNE,AMPARA",14500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SIAM VIEW HOTEL,"ARUGAMBAY,POTTUVIL.",19000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,S.L.R.HOLIDAY HOME AND GUEST HOUSE,"NO:42,BATTICALOA ROAD, KALMUNAI",9500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,TRI STAR BEACH HOTEL,"ARUGAMBAY,POTTUVIL",12800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SEA BREEZE RESTAURANT & GUEST INN,"430,BEACH ROAD,SAINTHAMARUTHU",43600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,BAY VISTA HOTEL,"NO:227,MAIN STREET,ARUGAMBAY,ULLA,POTTUVIL",2600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ARUGAMBAY SURFERS VILLA,"MAIN STREET, ARUGAMBAY SOUTH, POTTUVIL 05",30900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,THE SPICE TRAIL,"69TH, MILE POST, ARUGAMBAY, POTTUWIL",41500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,DREAM GARDEN,"WHISKEY POINT, KODDUKAL, URANI, POTTUVIL",13500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,PAPERMOON KUDILS,"KANAGAR VILLAGE, URANI, POTTUVIL 25",18800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,BALAJI OCEAN VIEW,"MAIN STREET,ARUGAMBAY,POTTUVIL.",13100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ARUGAMBAY ROCCOS,"MAIN SRTEET,ARUGAMBAY,POTTUVIL.",21800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,LAHIRU PLACE,"119,ARUGAMBAY,POTTUVIL ,P/18.",12600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,BEACH VIEW CABANA,"90,ARUGAMBAY,POTTUVIL,P/18.",23000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,MID BAY GUEST HOUSE,"MEEZAN ROAD,ARUGAMBAY,POTTUVIL.",15900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,NICE PLACE,"ARUGAMBAY,POTTUVIL.",15800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,MOON EYES BEACH HOTEL,"MAIN STREET,ARUGAMBAY,POTTUVIL.",24800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SEA ROCK,"57A,BEACH CROOSE ROAD, P/18.",28400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,FREEDOM BEACH GUEST HOUSE,"BEACH ROAD, ULLAI, POTTUVIL,ARUGAMBAY.",12900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SHASHINI BEACH RESORT,"ARUGAMBAY,POTTUVIL.",13600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,CHOOTY PLACE,"ARUGAMBAY,POTTUVIL.",24600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ONAYA GUEST,"AKKARAIPATTU ROAD,POTTUVIL-09.",10100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ANOTHER WORLD,"ARUGAMBAY,POTTUVIL.",27800,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ARNE'S PLACE,"53A,ARUGAMBAY,POTTUVIL -18.",16700,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,TROPICANA,"189,MAIN STREET,ARUGAMBAY,POTTUVIL -18.",14100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,ZIM BAY,"MAIN STREET,ARUGAMBAY,POTTUVIL-05",11000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,HAPPY PANDA,"ARUGAMBAY,POTTUVIL 18.",16400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,HARMONY BEACH HOTEL,"SIINA ULLAI,ARUGAMBAY,POTTUVIL-P/18",24900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,EVER GREEN LOUNGE,"MAIN STREET, ARUGAMBAY, POTTUVIL.",22200,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,GREEN BEACH HOTEL,"SINNAULLAY, POTUVIL",49100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,STAR REST BEACH HOTEL,"02, NICE PLACE, ARUGAMBAY, POTTUVIL. P/18.",40000,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,RIVER CORNER,"SINNA ULLAI, SAWALAI/05, ARUGAMBAY.",55500,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,THARAKA SURF GUEST,"P.18,ARUGAMBAY POTTUVIL.",26300,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,WELCOME HOUSE,"NO 65 D/01,PANAMA.",44100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,PANAMA VILLAGE HOME,"WEERA BODHI MAWATHA, PANAMA",50200,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,PANAMA GREEN HOUSE,"NO 76A, PANAMA WEST",26200,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,YASINDU HOMES,"PANAMA SOUTH, PANAMA",15900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,MANGO VILLA PANAMA,"PANAMA CENTRAL, PANAMA",7400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,SAJANI'S HOME,"PANAMA WEST, PANAMA",5900,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,STAR DUST BEACH HOTEL,"ARUGAMBAY,POTTUVIL",12700,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,PALM GROOVE HOLIDAY INN,"ARUGAMBAY,POTUVIL",22100,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,THOMPUKANDAM VILLAGE RESORT,"NO 72,ADDAPALAM,NINTHAVUR.",6400,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
Eastern,Ampara,Hot,City life,THE BLUE WAVE HOTEL,"THE BLUE WAVE HOTEL ROAD, ARUGAMBAY , POTTUVIL 05",13600,"4WD Tours,Safaris,Visit National Parks,Nature and Wildlife Tours"
North Central,Anuradhapura,Hot,Cultural,ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",17200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,KIVGA HOLIDAY HOME,"4C/8 FIRST STAGE, MIHINDU MAWATHA, ANURADHAPURA",15700,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SANDELLE HOLIDAY RESORT,"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",20100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SADULA HOLIDAY RESORT,"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",27500,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,LE GRAND MEAULNES - FAMILY HOLIDAY BUNGALOW,"""GREEN PATH"", TRINCOMALEE RD,HABARANA.",18900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,PEACOCK RESIDENCE,"NIDANGALA WATTE, MALIGATENNA, 5 ELA, SHRAWASTIPURA",26200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,JASMIN VILLA,"JASMIN VILLA, DAMBULLA ROAD, HABARANA",23800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SEVENAGAMA,"SEVANAGAMA ROAD, OFF TRINCO ROAD, HABARANA",12900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,THE FICUS GROVE,"ANURADHAPURA ROAD,HABARANA",19000,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
